pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691135920381616,axon_partially_extended,L6tall-c,Exc,196
864691136238029583,axon_partially_extended,L4a,Exc,394
864691136052688115,axon_partially_extended,L4a,Exc,658
864691135375351369,axon_partially_extended,L4a,Exc,421
864691136144950580,axon_partially_extended,L4b,Exc,463
864691136725071101,axon_partially_extended,L4b,Exc,345
864691135838749331,axon_partially_extended,L4b,Exc,301
864691135211568576,axon_partially_extended,L4b,Exc,391
864691134965949727,axon_partially_extended,L4b,Exc,361
864691135874894734,axon_partially_extended,L4b,Exc,180
864691136424357167,axon_partially_extended,L4b,Exc,214
864691135868386070,axon_partially_extended,L4b,Exc,681
864691134886335738,axon_partially_extended,L4b,Exc,269
864691135569592300,axon_partially_extended,L4b,Exc,871
864691135838788755,axon_partially_extended,L4b,Exc,467
864691135101452320,axon_partially_extended,L4b,Exc,513
864691135510307337,axon_partially_extended,L4b,Exc,261
864691135694456767,axon_partially_extended,L4b,Exc,257
864691135976012655,axon_partially_extended,L4b,Exc,254
864691135782490704,axon_partially_extended,L4b,Exc,173
864691135157198692,axon_partially_extended,L4b,Exc,604
864691135782506832,axon_partially_extended,L4b,Exc,689
864691135874901134,axon_partially_extended,L4b,Exc,408
864691136424428079,axon_partially_extended,L4b,Exc,304
864691135503611829,axon_partially_extended,L4b,Exc,332
864691135852344775,axon_partially_extended,L4b,Exc,250
864691134966025503,axon_partially_extended,L4b,Exc,311
864691135211620800,axon_partially_extended,L4b,Exc,238
864691135476355136,axon_partially_extended,L4b,Exc,304
864691136125339174,axon_partially_extended,L4b,Exc,240
864691135976063855,axon_partially_extended,L4b,Exc,797
864691136420011415,axon_partially_extended,L4b,Exc,409
864691135059995035,axon_partially_extended,L4b,Exc,257
864691136488758290,axon_partially_extended,L4b,Exc,196
864691134949072124,axon_partially_extended,L4b,Exc,331
864691135503344477,axon_partially_extended,L4b,Exc,379
864691135476373568,axon_partially_extended,L4b,Exc,454
864691135874915982,axon_partially_extended,L4b,Exc,778
864691135388119169,axon_partially_extended,L4b,Exc,382
864691134949081852,axon_partially_extended,L4b,Exc,601
864691135214356280,axon_partially_extended,L4b,Exc,231
864691135569468396,axon_partially_extended,L4b,Exc,460
864691136905076146,axon_partially_extended,L4b,Exc,369
864691135465113157,axon_partially_extended,L4b,Exc,365
864691136274488254,axon_partially_extended,L4b,Exc,500
864691135778463840,axon_partially_extended,L4b,Exc,391
864691136090942775,axon_partially_extended,L4b,Exc,445
864691135360301400,axon_partially_extended,L4b,Exc,259
864691135866360284,axon_partially_extended,L4b,Exc,310
864691135360302680,axon_partially_extended,L4b,Exc,221
864691135583156845,axon_partially_extended,L4b,Exc,248
864691136742244188,axon_partially_extended,L4b,Exc,501
864691136420045207,axon_partially_extended,L4b,Exc,214
864691136067090584,axon_partially_extended,L4b,Exc,283
864691136905107634,axon_partially_extended,L4b,Exc,323
864691135562123489,axon_partially_extended,L4b,Exc,352
864691135750287913,axon_partially_extended,L4b,Exc,328
864691136267846388,axon_partially_extended,L4b,Exc,254
864691135060018843,axon_partially_extended,L4b,Exc,278
864691136420056215,axon_partially_extended,L4b,Exc,413
864691135014305270,axon_partially_extended,L4b,Exc,224
864691136523081105,axon_partially_extended,L4b,Exc,579
864691135725920939,axon_partially_extended,L4b,Exc,292
864691135865774206,axon_partially_extended,L4b,Exc,534
864691135784109363,axon_partially_extended,L4b,Exc,327
864691135655615426,axon_partially_extended,L4b,Exc,352
864691135430268976,axon_partially_extended,L4b,Exc,268
864691136967258574,axon_partially_extended,L4b,Exc,492
864691135583209069,axon_partially_extended,L4b,Exc,211
864691135342523333,axon_partially_extended,L4b,Exc,349
864691135324361372,axon_partially_extended,L4b,Exc,676
864691136618739163,axon_partially_extended,L4b,Exc,398
864691135611019015,axon_partially_extended,L4b,Exc,506
864691135465034821,axon_partially_extended,L4b,Exc,245
864691136420210327,axon_partially_extended,L4b,Exc,323
864691134919019274,axon_partially_extended,L4b,Exc,245
864691135164057645,axon_partially_extended,L4b,Exc,221
864691136119999256,axon_partially_extended,L4b,Exc,258
864691136603342033,axon_partially_extended,L4b,Exc,280
864691135857589294,axon_partially_extended,L4b,Exc,342
864691135342541509,axon_partially_extended,L4b,Exc,661
864691136012739747,axon_partially_extended,L4b,Exc,416
864691135741963627,axon_partially_extended,L4b,Exc,451
864691135808864797,axon_partially_extended,L4b,Exc,413
864691136085781356,axon_partially_extended,L4b,Exc,513
864691135591803147,axon_partially_extended,L4b,Exc,291
864691135060094107,axon_partially_extended,L4b,Exc,643
864691135939200053,axon_partially_extended,L4b,Exc,501
864691135368696313,axon_partially_extended,L4c,Exc,310
864691136618675163,axon_partially_extended,L4c,Exc,508
864691135308621126,axon_partially_extended,L4c,Exc,519
864691135280028065,axon_partially_extended,L4c,Exc,257
864691135569495532,axon_partially_extended,L4c,Exc,320
